"var_idx","mp_freq","cd_freq","cl_freq","job_id"
1,0.8,0.62,0.68,24
2,0.74,0.62,0.68,24
3,0.8,0.72,0.76,24
4,0.8,0.68,0.66,24
5,0.76,0.64,0.7,24
6,0.86,0.6,0.68,24
7,0.74,0.66,0.64,24
8,0.44,0.28,0.26,24
9,0.46,0.26,0.28,24
10,0.48,0.22,0.34,24
11,0.2,0.24,0.28,24
12,0.22,0.32,0.18,24
13,0.36,0.36,0.32,24
14,0.22,0.22,0.32,24
15,0.26,0.22,0.24,24
16,0.28,0.22,0.22,24
17,0.22,0.32,0.36,24
18,0.18,0.18,0.22,24
19,0.36,0.34,0.28,24
20,0.22,0.24,0.32,24
1,0.88,0.82,0.88,25
2,0.9,0.76,0.8,25
3,0.8,0.7,0.74,25
4,0.92,0.8,0.88,25
5,0.92,0.86,0.84,25
6,0.88,0.82,0.88,25
7,0.8,0.7,0.76,25
8,0.16,0.2,0.26,25
9,0.16,0.16,0.22,25
10,0.34,0.26,0.34,25
11,0.16,0.24,0.16,25
12,0.24,0.16,0.2,25
13,0.24,0.14,0.28,25
14,0.18,0.14,0.22,25
15,0.2,0.22,0.18,25
16,0.14,0.2,0.16,25
17,0.16,0.14,0.22,25
18,0.14,0.12,0.16,25
19,0.22,0.2,0.32,25
20,0.12,0.22,0.18,25
21,0.2,0.14,0.1,25
22,0.16,0.1,0.18,25
23,0.26,0.24,0.24,25
24,0.2,0.1,0.26,25
25,0.12,0.16,0.18,25
26,0.3,0.16,0.32,25
27,0.2,0.18,0.18,25
28,0.2,0.2,0.28,25
29,0.24,0.16,0.26,25
30,0.24,0.18,0.36,25
31,0.14,0.1,0.26,25
32,0.16,0.14,0.1,25
33,0.18,0.2,0.24,25
34,0.18,0.18,0.22,25
35,0.16,0.12,0.14,25
36,0.24,0.18,0.24,25
37,0.28,0.2,0.24,25
38,0.2,0.12,0.22,25
39,0.26,0.16,0.32,25
40,0.14,0.12,0.14,25
41,0.2,0.14,0.28,25
42,0.16,0.14,0.22,25
43,0.18,0.18,0.26,25
44,0.2,0.14,0.24,25
45,0.22,0.26,0.26,25
46,0.14,0.16,0.12,25
47,0.16,0.16,0.18,25
48,0.2,0.12,0.2,25
49,0.2,0.1,0.18,25
50,0.22,0.16,0.24,25
1,0.88,0.82,0.88,26
2,0.9,0.8,0.8,26
3,0.8,0.68,0.74,26
4,0.92,0.78,0.88,26
5,0.92,0.84,0.84,26
6,0.88,0.82,0.86,26
7,0.8,0.68,0.76,26
8,0.2,0.2,0.28,26
9,0.18,0.1,0.18,26
10,0.38,0.24,0.36,26
11,0.16,0.22,0.16,26
12,0.24,0.2,0.2,26
13,0.24,0.16,0.3,26
14,0.18,0.14,0.22,26
15,0.2,0.2,0.2,26
16,0.14,0.2,0.16,26
17,0.18,0.16,0.22,26
18,0.14,0.08,0.18,26
19,0.22,0.2,0.32,26
20,0.12,0.2,0.2,26
21,0.2,0.14,0.16,26
22,0.16,0.1,0.18,26
23,0.24,0.24,0.26,26
24,0.18,0.1,0.26,26
25,0.12,0.18,0.18,26
26,0.28,0.18,0.34,26
27,0.2,0.18,0.2,26
28,0.2,0.22,0.28,26
29,0.24,0.14,0.26,26
30,0.24,0.18,0.36,26
31,0.16,0.1,0.28,26
32,0.14,0.14,0.1,26
33,0.18,0.18,0.24,26
34,0.18,0.18,0.22,26
35,0.16,0.12,0.14,26
36,0.24,0.18,0.26,26
37,0.28,0.18,0.26,26
38,0.18,0.14,0.24,26
39,0.26,0.16,0.32,26
40,0.14,0.12,0.14,26
41,0.2,0.14,0.26,26
42,0.18,0.16,0.24,26
43,0.18,0.18,0.24,26
44,0.2,0.18,0.26,26
45,0.24,0.24,0.26,26
46,0.16,0.16,0.14,26
47,0.16,0.14,0.22,26
48,0.2,0.1,0.2,26
49,0.2,0.12,0.18,26
50,0.22,0.16,0.26,26
1,0.88,0.72,0.82,27
2,0.94,0.66,0.88,27
3,0.82,0.68,0.8,27
4,0.94,0.74,0.88,27
5,0.9,0.74,0.86,27
6,0.82,0.58,0.78,27
7,0.8,0.68,0.78,27
8,0.18,0.12,0.22,27
9,0.2,0.18,0.22,27
10,0.28,0.3,0.28,27
11,0.26,0.2,0.26,27
12,0.12,0.14,0.16,27
13,0.16,0.16,0.22,27
14,0.18,0.12,0.2,27
15,0.18,0.16,0.18,27
16,0.24,0.18,0.2,27
17,0.12,0.14,0.16,27
18,0.1,0.08,0.14,27
19,0.28,0.28,0.3,27
20,0.12,0.18,0.18,27
21,0.18,0.2,0.14,27
22,0.16,0.1,0.14,27
23,0.3,0.26,0.28,27
24,0.08,0.14,0.12,27
25,0.14,0.1,0.16,27
26,0.14,0.2,0.18,27
27,0.12,0.16,0.18,27
28,0.16,0.2,0.22,27
29,0.18,0.2,0.2,27
30,0.18,0.16,0.14,27
31,0.12,0.16,0.14,27
32,0.14,0.18,0.16,27
33,0.16,0.2,0.14,27
34,0.2,0.16,0.28,27
35,0.08,0.14,0.04,27
36,0.14,0.16,0.18,27
37,0.16,0.2,0.18,27
38,0.08,0.16,0.12,27
39,0.3,0.24,0.36,27
40,0.16,0.14,0.12,27
41,0.16,0.12,0.22,27
42,0.2,0.16,0.22,27
43,0.1,0.06,0.12,27
44,0.12,0.1,0.28,27
45,0.12,0.16,0.14,27
46,0.14,0.22,0.14,27
47,0.16,0.18,0.18,27
48,0.18,0.14,0.18,27
49,0.1,0.1,0.14,27
50,0.24,0.14,0.32,27
1,0.88,0.7,0.82,28
2,0.92,0.68,0.9,28
3,0.84,0.7,0.8,28
4,0.94,0.74,0.88,28
5,0.9,0.74,0.86,28
6,0.84,0.58,0.8,28
7,0.8,0.66,0.78,28
8,0.24,0.16,0.24,28
9,0.26,0.24,0.16,28
10,0.26,0.22,0.24,28
11,0.24,0.2,0.24,28
12,0.12,0.14,0.14,28
13,0.18,0.18,0.22,28
14,0.2,0.12,0.22,28
15,0.18,0.18,0.2,28
16,0.26,0.18,0.2,28
17,0.12,0.14,0.14,28
18,0.12,0.08,0.14,28
19,0.26,0.28,0.3,28
20,0.1,0.22,0.16,28
21,0.18,0.2,0.14,28
22,0.16,0.12,0.16,28
23,0.32,0.26,0.28,28
24,0.1,0.18,0.12,28
25,0.1,0.1,0.18,28
26,0.14,0.22,0.2,28
27,0.12,0.16,0.18,28
28,0.18,0.18,0.22,28
29,0.18,0.24,0.22,28
30,0.18,0.16,0.14,28
31,0.12,0.18,0.14,28
32,0.16,0.18,0.14,28
33,0.16,0.18,0.14,28
34,0.2,0.18,0.28,28
35,0.1,0.12,0.04,28
36,0.12,0.16,0.16,28
37,0.16,0.22,0.2,28
38,0.1,0.16,0.12,28
39,0.3,0.24,0.36,28
40,0.16,0.14,0.1,28
41,0.16,0.14,0.24,28
42,0.2,0.16,0.22,28
43,0.1,0.06,0.1,28
44,0.1,0.1,0.26,28
45,0.12,0.16,0.14,28
46,0.14,0.22,0.14,28
47,0.14,0.16,0.2,28
48,0.18,0.14,0.18,28
49,0.12,0.12,0.14,28
50,0.22,0.16,0.34,28
1,0.98,0.96,0.92,29
2,0.96,0.9,0.84,29
3,0.92,0.88,0.88,29
4,0.98,1,0.96,29
5,0.94,0.9,0.92,29
6,0.96,0.94,0.94,29
7,0.94,0.98,0.88,29
8,0.24,0.22,0.3,29
9,0.2,0.22,0.26,29
10,0.32,0.32,0.36,29
11,0.24,0.28,0.16,29
12,0.28,0.14,0.28,29
13,0.2,0.16,0.2,29
14,0.16,0.12,0.22,29
15,0.28,0.2,0.28,29
16,0.2,0.24,0.24,29
17,0.22,0.16,0.24,29
18,0.22,0.18,0.2,29
19,0.18,0.14,0.18,29
20,0.26,0.22,0.22,29
21,0.18,0.26,0.16,29
