"sim","dgp","scenario","tau","snr","K","method","TPR_mean","TPR_sd","PPV_mean","PPV_sd","F1_mean","F1_sd","AUC_mean","AUC_sd","mp_nsel_mean","mp_nsel_sd","cd_nsel_mean","cd_nsel_sd","cl_nsel_mean","cl_nsel_sd","mp_lambda_mean","mp_lambda_sd"
"hdim","DGP2","S2",0.3,0.5,100,"C LASSO",0.626,0.298,0.359,0.214,0.403,0.179,0.629,0.053,13.46,9.23880458739558,10.42,8.62149662655114,14.18,9.47540317380334,0.06912276,0.0236090460616524
"hdim","DGP1","S1",0.3,1,100,"PRIMED",0.909,0.135,0.369,0.149,0.503,0.124,0.727,0.035,19.8,7.9153686726829,20.24,8.98424925599672,17.44,8.93550587857914,0.05146346,0.0124364855167596
"hdim","DGP1","S1",0.3,1,100,"CD GL",0.869,0.175,0.356,0.156,0.469,0.112,0.7,0.041,19.8,7.9153686726829,20.24,8.98424925599672,17.44,8.93550587857914,0.05146346,0.0124364855167596
"hdim","DGP1","S1",0.3,1,100,"C LASSO",0.826,0.215,0.41,0.212,0.501,0.158,0.689,0.053,19.8,7.9153686726829,20.24,8.98424925599672,17.44,8.93550587857914,0.05146346,0.0124364855167596
"hdim","DGP1","S2",0.3,1,100,"PRIMED",0.909,0.135,0.366,0.153,0.5,0.129,0.726,0.035,20.12,8.19068659751889,19.62,8.70582727668247,17.66,8.7728942470195,0.05133692,0.0127823163351338
"hdim","DGP1","S2",0.3,1,100,"CD GL",0.866,0.177,0.364,0.154,0.477,0.11,0.699,0.042,20.12,8.19068659751889,19.62,8.70582727668247,17.66,8.7728942470195,0.05133692,0.0127823163351338
"hdim","DGP1","S2",0.3,1,100,"C LASSO",0.829,0.21,0.396,0.194,0.497,0.157,0.689,0.052,20.12,8.19068659751889,19.62,8.70582727668247,17.66,8.7728942470195,0.05133692,0.0127823163351338
"hdim","DGP2","S1",0.3,1,100,"PRIMED",0.923,0.12,0.471,0.183,0.595,0.135,0.729,0.028,15.96,6.59610274545291,17.78,10.8087077518687,16.78,9.78188663410331,0.05835776,0.0135351256646383
"hdim","DGP2","S1",0.3,1,100,"CD GL",0.78,0.212,0.42,0.228,0.481,0.132,0.682,0.042,15.96,6.59610274545291,17.78,10.8087077518687,16.78,9.78188663410331,0.05835776,0.0135351256646383
"hdim","DGP2","S1",0.3,1,100,"C LASSO",0.78,0.242,0.394,0.209,0.479,0.159,0.676,0.05,15.96,6.59610274545291,17.78,10.8087077518687,16.78,9.78188663410331,0.05835776,0.0135351256646383
"hdim","DGP2","S2",0.3,1,100,"PRIMED",0.926,0.116,0.461,0.17,0.591,0.127,0.728,0.029,16.02,6.13284899004483,17.72,10.9694194589006,16.82,9.60163676523063,0.05916912,0.012954811104791
"hdim","DGP2","S2",0.3,1,100,"CD GL",0.777,0.218,0.421,0.228,0.481,0.136,0.682,0.043,16.02,6.13284899004483,17.72,10.9694194589006,16.82,9.60163676523063,0.05916912,0.012954811104791
"hdim","DGP2","S2",0.3,1,100,"C LASSO",0.786,0.242,0.397,0.21,0.482,0.16,0.675,0.05,16.02,6.13284899004483,17.72,10.9694194589006,16.82,9.60163676523063,0.05916912,0.012954811104791
